,h,kernel_type,time,cutoff,tst_accuracy,tst_f1,tp,fn,tn,fp
78,50.0,gaussian,12.008973360061646,300,0.7850877192982456,0.08125,13,7,1061,287
79,50.0,gaussian,12.008973360061646,400,0.7192982456140351,0.08571428571428572,18,2,966,382
80,50.0,tophat,8.809704780578613,50,0.9853801169590644,0.0,0,20,1348,0
81,50.0,tophat,8.809704780578613,100,0.9853801169590644,0.0,0,20,1348,0
82,50.0,tophat,8.809704780578613,200,0.9853801169590644,0.0,0,20,1348,0
83,50.0,tophat,8.809704780578613,300,0.9853801169590644,0.0,0,20,1348,0
84,50.0,tophat,8.809704780578613,400,0.9853801169590644,0.0,0,20,1348,0
85,50.0,epanechnikov,8.552193641662598,50,0.9853801169590644,0.0,0,20,1348,0
86,50.0,epanechnikov,8.552193641662598,100,0.9853801169590644,0.0,0,20,1348,0
87,50.0,epanechnikov,8.552193641662598,200,0.9853801169590644,0.0,0,20,1348,0
88,50.0,epanechnikov,8.552193641662598,300,0.9853801169590644,0.0,0,20,1348,0
89,50.0,epanechnikov,8.552193641662598,400,0.9853801169590644,0.0,0,20,1348,0
90,50.0,exponential,12.16850996017456,50,0.9780701754385965,0.5714285714285714,20,0,1318,30
91,50.0,exponential,12.16850996017456,100,0.9415204678362573,0.3333333333333333,20,0,1268,80
92,50.0,exponential,12.16850996017456,200,0.868421052631579,0.18181818181818182,20,0,1168,180
93,50.0,exponential,12.16850996017456,300,0.7953216374269005,0.125,20,0,1068,280
94,50.0,exponential,12.16850996017456,400,0.7222222222222222,0.09523809523809523,20,0,968,380
95,50.0,linear,8.523675680160522,50,0.9853801169590644,0.0,0,20,1348,0
96,50.0,linear,8.523675680160522,100,0.9853801169590644,0.0,0,20,1348,0
97,50.0,linear,8.523675680160522,200,0.9853801169590644,0.0,0,20,1348,0
98,50.0,linear,8.523675680160522,300,0.9853801169590644,0.0,0,20,1348,0
99,50.0,linear,8.523675680160522,400,0.9853801169590644,0.0,0,20,1348,0
